Category,Name,Error
French TV,My Righteous TV,403
French TV,2STV,403
World TV,2M Monde +1,404
World TV,2TV,403
News,Afrique Media,403
News,3Cat Exclusiu 1,403
News,3Cat Exclusiu 2,403
News,3Cat Exclusiu 3,403
World TV,3HD,403
World TV,3 Stones TV,404
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4ACETV",405
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4ACETV CLASSIC HIT",405
World TV,4 Afghanistan,URL_ERROR
World TV,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4K TRAVEL TV",404
Music,8XM,400
Music,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Music"",9XM",404
Music,13 Festival,405
Kids,13 Kids,405
World TV,8 Out of 10 Cats,403
World TV,8 Out of 10 Cats,403
World TV,9Gem,400
World TV,9Go!,400
World TV,9 la Loma TV,403
World TV,9Life,400
World TV,11 Kanal,404
World TV,13C,405
World TV,13 Entretención,405
World TV,13 Humor,405
World TV,13 Prime,405
World TV,13 Realities,405
Music,15+ Music,509
News,24 Horas,URL_ERROR
Movies,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Movies"",24 Hour Free Movies",404
News,24KZ,404
News,"like Gecko Chrome/76.0.3809.25 Safari/537.36"" group-title=""News"",24 TV",403
Movies,27 TwentySeven,URL_ERROR
World TV,15TV,URL_ERROR
World TV,20 Mediaset,URL_ERROR
World TV,21 Jump Street,404
World TV,24Kitchen Serbia,403
Kids,BRTV Kaku Childrens Channel,URL_ERROR
Religious,BTL TV,404
World TV,BRT 1,URL_ERROR
World TV,BRT 2,URL_ERROR
World TV,BRT 3,403
World TV,BRTV Science & Education Channel,URL_ERROR
World TV,Bruzz,403
World TV,BS Asahi,404
World TV,BS Fuji TV,404
World TV,BS Nippon TV,404
World TV,BS Shochiku Tokyu,404
World TV,BS TBS,404
World TV,BTB HD,404
World TV,BTM TV,URL_ERROR
World TV,BTV National,ERROR
News,BTV News,URL_ERROR
Music,Busuioc TV,URL_ERROR
World TV,Buin Somos Todos,URL_ERROR
World TV,Bungo TV,404
World TV,Bursa TV,URL_ERROR
World TV,Bushehr,403
